Adresse,Ville,Arrondissement,Type,Prix (€),Prix mensuel (€),Pièce(s),Surface (m2),Date de vente
270 RUE SAINT-HONORÉ,PARIS,75001,Appartement,750400,14431,2,52,22/05/2023
186 RUE DE RIVOLI,PARIS,75001,Appartement,330000,14348,1,23,28/04/2023
23 RUE DE RICHELIEU,PARIS,75001,Appartement,360100,15657,1,23,29/03/2023
27 RUE DE RICHELIEU,PARIS,75001,Appartement,286123,11005,1,26,10/02/2023
272 RUE SAINT-HONORÉ,PARIS,75001,Appartement,411636,12864,2,32,28/12/2022
258 RUE SAINT-HONORÉ,PARIS,75001,Appartement,334120,12375,1,27,16/12/2022
4 AVENUE DE L'OPÉRA,PARIS,75001,Appartement,1920000,12800,5,150,09/11/2022
280 RUE SAINT-HONORÉ,PARIS,75001,Appartement,406000,11278,2,36,13/10/2022
23 RUE DE RICHELIEU,PARIS,75001,Appartement,280000,12727,2,22,05/10/2022
23 RUE DE RICHELIEU,PARIS,75001,Appartement,50000,2500,1,20,19/09/2022
280 RUE SAINT-HONORÉ,PARIS,75001,Appartement,403000,14926,1,27,09/09/2022
276 RUE SAINT-HONORÉ,PARIS,75001,Appartement,377000,12567,1,30,06/09/2022
23 RUE DE RICHELIEU,PARIS,75001,Appartement,288000,13714,1,21,21/06/2022
260 RUE SAINT-HONORÉ,PARIS,75001,Appartement,732000,14640,2,50,01/06/2022
4 AVENUE DE L'OPÉRA,PARIS,75001,Appartement,14000,255,3,55,23/05/2022
276 RUE SAINT-HONORÉ,PARIS,75001,Appartement,550000,14474,3,38,16/05/2022
280 RUE SAINT-HONORÉ,PARIS,75001,Appartement,353000,12172,1,29,03/05/2022
280 RUE SAINT-HONORÉ,PARIS,75001,Appartement,339500,11707,1,29,03/05/2022
270 RUE SAINT-HONORÉ,PARIS,75001,Appartement,1620000,14336,3,113,27/04/2022
186 RUE DE RIVOLI,PARIS,75001,Appartement,225000,8036,2,28,08/04/2022
177 RUE SAINT-HONORÉ,PARIS,75001,Appartement,2740000,11369,6,241,08/04/2022
270 RUE SAINT-HONORÉ,PARIS,75001,Appartement,330000,13750,1,24,14/03/2022
23 RUE DE RICHELIEU,PARIS,75001,Appartement,535885,12462,2,43,31/01/2022
280 RUE SAINT-HONORÉ,PARIS,75001,Appartement,295000,14750,1,20,16/11/2021
280 RUE SAINT-HONORÉ,PARIS,75001,Appartement,275000,13750,1,20,25/08/2021
262 RUE SAINT-HONORÉ,PARIS,75001,Appartement,210000,16154,1,13,28/06/2021
23 RUE DE RICHELIEU,PARIS,75001,Appartement,425000,17708,1,24,10/05/2021
179 RUE SAINT-HONORÉ,PARIS,75001,Appartement,1020000,19615,2,52,21/04/2021
186 RUE DE RIVOLI,PARIS,75001,Appartement,350000,8750,2,40,06/04/2021
8 RUE D'ARGENTEUIL,PARIS,75001,Appartement,2060000,12875,4,160,22/03/2021
262 RUE SAINT-HONORÉ,PARIS,75001,Appartement,265450,11060,1,24,17/03/2021
276 RUE SAINT-HONORÉ,PARIS,75001,Appartement,11000,180,3,61,24/02/2021
173 RUE SAINT-HONORÉ,PARIS,75001,Appartement,635000,12959,3,49,26/01/2021
165 RUE SAINT-HONORÉ,PARIS,75001,Appartement,150000,7500,1,20,01/12/2020
25 RUE DE RICHELIEU,PARIS,75001,Appartement,1700000,12143,3,140,01/12/2020
280 RUE SAINT-HONORÉ,PARIS,75001,Appartement,475000,13571,2,35,01/12/2020
274 RUE SAINT-HONORÉ,PARIS,75001,Appartement,1124250,14793,3,76,30/11/2020
276 RUE SAINT-HONORÉ,PARIS,75001,Appartement,350000,10938,3,32,07/10/2020
25 RUE DE RICHELIEU,PARIS,75001,Appartement,412000,12875,2,32,22/09/2020
280 RUE SAINT-HONORÉ,PARIS,75001,Appartement,436610,13644,1,32,28/08/2020
280 RUE SAINT-HONORÉ,PARIS,75001,Appartement,439000,19087,1,23,05/08/2020
280 RUE SAINT-HONORÉ,PARIS,75001,Appartement,477000,14029,2,34,27/07/2020
23 RUE DE RICHELIEU,PARIS,75001,Appartement,314150,13090,1,24,09/07/2020
179 RUE SAINT-HONORÉ,PARIS,75001,Appartement,3200000,21192,3,151,09/07/2020
3 RUE DE L'ECHELLE,PARIS,75001,Appartement,2603550,19004,6,137,06/07/2020
270 RUE SAINT-HONORÉ,PARIS,75001,Appartement,250000,11364,1,22,11/06/2020
27 RUE DE RICHELIEU,PARIS,75001,Appartement,890105,14592,2,61,28/05/2020
27 RUE DE RICHELIEU,PARIS,75001,Appartement,379848,18992,2,20,27/05/2020
260 RUE SAINT-HONORÉ,PARIS,75001,Appartement,467900,10634,1,44,22/05/2020
8 RUE D'ARGENTEUIL,PARIS,75001,Appartement,2550000,16346,4,156,18/05/2020
10 AVENUE DE L'OPÉRA,PARIS,75001,Appartement,2775000,11758,7,236,03/04/2020
165 RUE SAINT-HONORÉ,PARIS,75001,Appartement,1420000,15955,3,89,13/03/2020
27 RUE DE RICHELIEU,PARIS,75001,Appartement,98000,10889,1,9,10/03/2020
23 RUE DE RICHELIEU,PARIS,75001,Appartement,179900,9468,1,19,20/02/2020
4 AVENUE DE L'OPÉRA,PARIS,75001,Appartement,945264,17187,3,55,13/12/2019
23 RUE DE RICHELIEU,PARIS,75001,Appartement,220000,12941,1,17,12/12/2019
186 RUE DE RIVOLI,PARIS,75001,Appartement,350000,12963,2,27,05/12/2019
3 RUE DE L'ECHELLE,PARIS,75001,Appartement,2470000,15833,5,156,27/11/2019
186 RUE DE RIVOLI,PARIS,75001,Appartement,560000,11667,2,48,14/10/2019
5 RUE MOLIÈRE,PARIS,75001,Appartement,97000,12125,1,8,28/09/2019
274 RUE SAINT-HONORÉ,PARIS,75001,Appartement,905000,12929,2,70,02/08/2019
272 RUE SAINT-HONORÉ,PARIS,75001,Appartement,705700,17642,2,40,02/08/2019
16 RUE DE RICHELIEU,PARIS,75001,Appartement,1380000,13398,3,103,16/07/2019
12 RUE DES PYRAMIDES,PARIS,75001,Appartement,15000,300,2,50,11/07/2019
12 RUE DES PYRAMIDES,PARIS,75001,Appartement,1082,22,2,50,11/07/2019
280 RUE SAINT-HONORÉ,PARIS,75001,Appartement,705000,15000,1,47,27/06/2019
258 RUE SAINT-HONORÉ,PARIS,75001,Appartement,375000,13889,1,27,11/06/2019
179 RUE SAINT-HONORÉ,PARIS,75001,Appartement,2964000,19629,3,151,24/05/2019
262 RUE SAINT-HONORÉ,PARIS,75001,Appartement,368221,11507,2,32,23/05/2019
18 RUE DE RICHELIEU,PARIS,75001,Appartement,750000,16304,2,46,20/05/2019
274 RUE SAINT-HONORÉ,PARIS,75001,Appartement,610000,16486,2,37,20/05/2019
120 RUE MONTMARTRE,PARIS,75002,Appartement,420000,15000,1,28,30/06/2023
138 RUE MONTMARTRE,PARIS,75002,Appartement,995000,14214,3,70,21/06/2023
19 RUE PAUL LELONG,PARIS,75002,Appartement,1100000,11000,5,100,19/06/2023
136 RUE MONTMARTRE,PARIS,75002,Appartement,100,4,2,25,16/06/2023
17 RUE SAINT-JOSEPH,PARIS,75002,Appartement,230000,11500,1,20,15/06/2023
18 RUE DE LA BANQUE,PARIS,75002,Appartement,1690000,16095,4,105,12/06/2023
116 RUE MONTMARTRE,PARIS,75002,Appartement,643650,11919,2,54,16/05/2023
17 RUE PAUL LELONG,PARIS,75002,Appartement,480000,12000,2,40,05/05/2023
97 RUE MONTMARTRE,PARIS,75002,Appartement,700000,14894,2,47,04/05/2023
8 RUE SAINT-JOSEPH,PARIS,75002,Appartement,326350,6527,2,50,03/05/2023
1 RUE PAUL LELONG,PARIS,75002,Appartement,203000,12688,1,16,31/03/2023
146 RUE MONTMARTRE,PARIS,75002,Appartement,1300000,15663,4,83,28/03/2023
1 RUE PAUL LELONG,PARIS,75002,Appartement,157500,5431,2,29,07/03/2023
24 RUE SAINT-JOSEPH,PARIS,75002,Appartement,361000,10314,2,35,07/03/2023
138 RUE MONTMARTRE,PARIS,75002,Appartement,619100,12635,2,49,27/02/2023
1 RUE PAUL LELONG,PARIS,75002,Appartement,224000,9333,1,24,16/02/2023
152 RUE MONTMARTRE,PARIS,75002,Appartement,640000,12800,2,50,01/02/2023
152 RUE MONTMARTRE,PARIS,75002,Appartement,540000,11489,2,47,23/01/2023
13 RUE SAINT-JOSEPH,PARIS,75002,Appartement,381200,15883,2,24,30/12/2022
19 RUE NOTRE-DAME DES VICTOIRES,PARIS,75002,Appartement,700900,14018,2,50,22/12/2022
110 RUE MONTMARTRE,PARIS,75002,Appartement,810000,12857,2,63,12/12/2022
87 RUE MONTMARTRE,PARIS,75002,Appartement,290000,12609,1,23,24/11/2022
17 RUE PAUL LELONG,PARIS,75002,Appartement,527005,14639,1,36,08/11/2022
7 RUE PAUL LELONG,PARIS,75002,Appartement,434250,11135,2,39,07/11/2022
19 RUE NOTRE-DAME DES VICTOIRES,PARIS,75002,Appartement,910450,13006,3,70,28/10/2022
146 RUE MONTMARTRE,PARIS,75002,Appartement,7500,221,2,34,20/09/2022
146 RUE MONTMARTRE,PARIS,75002,Appartement,2500,312,1,8,20/09/2022
146 RUE MONTMARTRE,PARIS,75002,Appartement,12000,364,2,33,20/09/2022
19 RUE NOTRE-DAME DES VICTOIRES,PARIS,75002,Appartement,950000,10000,2,95,23/08/2022
120 RUE MONTMARTRE,PARIS,75002,Appartement,762000,13855,3,55,26/07/2022
13 RUE SAINT-JOSEPH,PARIS,75002,Appartement,261760,11381,1,23,31/05/2022
5 RUE PAUL LELONG,PARIS,75002,Appartement,464000,8436,3,55,30/05/2022
17 RUE SAINT-JOSEPH,PARIS,75002,Appartement,570000,10755,2,53,18/05/2022
112 RUE MONTMARTRE,PARIS,75002,Appartement,475000,11047,2,43,12/05/2022
13 RUE DU CROISSANT,PARIS,75002,Appartement,178540,11159,1,16,10/05/2022
136 RUE MONTMARTRE,PARIS,75002,Appartement,100,4,1,23,05/05/2022
136 RUE MONTMARTRE,PARIS,75002,Appartement,419033,18219,1,23,05/05/2022
17 RUE PAUL LELONG,PARIS,75002,Appartement,360000,13846,1,26,20/04/2022
24 RUE SAINT-JOSEPH,PARIS,75002,Appartement,141875,6756,1,21,07/04/2022
22 RUE SAINT-JOSEPH,PARIS,75002,Appartement,250000,11364,1,22,07/04/2022
112 RUE MONTMARTRE,PARIS,75002,Appartement,465000,10814,2,43,01/04/2022
146 RUE MONTMARTRE,PARIS,75002,Appartement,586930,11978,3,49,30/03/2022
114 RUE MONTMARTRE,PARIS,75002,Appartement,200000,9091,1,22,27/01/2022
152 RUE MONTMARTRE,PARIS,75002,Appartement,706000,12836,3,55,20/12/2021
112 RUE MONTMARTRE,PARIS,75002,Appartement,635000,14767,3,43,15/12/2021
16 RUE DU CROISSANT,PARIS,75002,Appartement,800000,14545,3,55,26/11/2021
13 RUE DU CROISSANT,PARIS,75002,Appartement,495040,12074,1,41,18/11/2021
18 RUE SAINT-JOSEPH,PARIS,75002,Appartement,442500,11346,2,39,15/11/2021
152 RUE MONTMARTRE,PARIS,75002,Appartement,162896,16290,1,10,10/11/2021
120 RUE MONTMARTRE,PARIS,75002,Appartement,312000,13000,1,24,29/10/2021
1 RUE PAUL LELONG,PARIS,75002,Appartement,215000,9348,2,23,27/10/2021
7 RUE PAUL LELONG,PARIS,75002,Appartement,578000,12042,2,48,29/09/2021
13 RUE SAINT-JOSEPH,PARIS,75002,Appartement,505360,11485,2,44,06/07/2021
20 RUE SAINT-JOSEPH,PARIS,75002,Appartement,359600,11987,2,30,02/07/2021
152 RUE MONTMARTRE,PARIS,75002,Appartement,3000,45,2,66,18/06/2021
146 RUE MONTMARTRE,PARIS,75002,Appartement,365000,12586,2,29,15/06/2021
87 RUE MONTMARTRE,PARIS,75002,Appartement,255000,11087,1,23,08/06/2021
138 RUE MONTMARTRE,PARIS,75002,Appartement,1144490,13789,3,83,07/05/2021
20 RUE SAINT-JOSEPH,PARIS,75002,Appartement,260000,13000,1,20,06/05/2021
114 RUE MONTMARTRE,PARIS,75002,Appartement,590000,11132,3,53,31/03/2021
10 RUE DU CROISSANT,PARIS,75002,Appartement,176680,19631,1,9,16/03/2021
97 RUE MONTMARTRE,PARIS,75002,Appartement,878660,16897,3,52,01/02/2021
10 RUE DU CROISSANT,PARIS,75002,Appartement,437400,12497,2,35,28/01/2021
8 RUE SAINT-JOSEPH,PARIS,75002,Appartement,624200,11777,2,53,08/01/2021
11 RUE SAINT-JOSEPH,PARIS,75002,Appartement,860000,11781,3,73,05/01/2021
152 RUE MONTMARTRE,PARIS,75002,Appartement,68000,2833,2,24,04/01/2021
110 RUE MONTMARTRE,PARIS,75002,Appartement,210000,12353,1,17,30/12/2020
120 RUE MONTMARTRE,PARIS,75002,Appartement,850000,14407,2,59,21/12/2020
136 RUE MONTMARTRE,PARIS,75002,Appartement,246000,12300,1,20,15/12/2020
146 RUE MONTMARTRE,PARIS,75002,Appartement,1088000,13108,4,83,14/12/2020
15 RUE SAINT-JOSEPH,PARIS,75002,Appartement,700000,11864,2,59,11/12/2020
136 RUE MONTMARTRE,PARIS,75002,Appartement,350000,13462,1,26,30/11/2020
13 RUE SAINT-JOSEPH,PARIS,75002,Appartement,240000,12000,1,20,27/11/2020
152 RUE MONTMARTRE,PARIS,75002,Appartement,666000,10091,2,66,16/11/2020
16 RUE DU CROISSANT,PARIS,75002,Appartement,1785000,15522,4,115,30/10/2020
19 RUE PAUL LELONG,PARIS,75002,Appartement,330000,15000,1,22,29/10/2020
18 RUE DE LA BANQUE,PARIS,75002,Appartement,2210000,14733,3,150,20/10/2020
116 RUE MONTMARTRE,PARIS,75002,Appartement,609200,11281,2,54,16/10/2020
1 RUE PAUL LELONG,PARIS,75002,Appartement,327500,7798,2,42,01/09/2020
146 RUE MONTMARTRE,PARIS,75002,Appartement,70000,8750,1,8,27/07/2020
18 RUE DE LA BANQUE,PARIS,75002,Appartement,1730000,17300,3,100,16/07/2020
146 RUE MONTMARTRE,PARIS,75002,Appartement,1530000,18659,4,82,27/05/2020
152 RUE MONTMARTRE,PARIS,75002,Appartement,1333000,9730,5,137,20/05/2020
13 RUE DU CROISSANT,PARIS,75002,Appartement,475000,13571,2,35,24/04/2020
167 RUE DU TEMPLE,PARIS,75003,Appartement,125000,10417,1,12,25/05/2023
3 RUE PAUL DUBOIS,PARIS,75003,Appartement,57200,3011,2,19,12/05/2023
61 RUE DE BRETAGNE,PARIS,75003,Appartement,2281553,17686,5,129,30/03/2023
175 RUE DU TEMPLE,PARIS,75003,Appartement,1134200,18903,3,60,29/03/2023
10 RUE PERRÉE,PARIS,75003,Appartement,3011500,19304,6,156,24/03/2023
173 RUE DU TEMPLE,PARIS,75003,Appartement,570000,11400,2,50,17/03/2023
3 RUE PAUL DUBOIS,PARIS,75003,Appartement,2000000,11765,5,170,21/02/2023
61 RUE DE BRETAGNE,PARIS,75003,Appartement,2450000,19141,5,128,06/01/2023
156 RUE DU TEMPLE,PARIS,75003,Appartement,1000,34,1,29,04/01/2023
167 RUE DU TEMPLE,PARIS,75003,Appartement,240000,10000,1,24,24/11/2022
171 RUE DU TEMPLE,PARIS,75003,Appartement,524520,13449,2,39,17/11/2022
18 RUE PERRÉE,PARIS,75003,Appartement,3222000,21059,5,153,26/09/2022
171 RUE DU TEMPLE,PARIS,75003,Appartement,2151262,18231,3,118,02/09/2022
7 RUE AU MAIRE,PARIS,75003,Appartement,1845000,13566,5,136,01/08/2022
167 RUE DU TEMPLE,PARIS,75003,Appartement,260000,8667,1,30,26/07/2022
10 RUE PERRÉE,PARIS,75003,Appartement,3095000,19840,6,156,22/07/2022
154 RUE DU TEMPLE,PARIS,75003,Appartement,212264,7581,1,28,06/07/2022
61 RUE DE BRETAGNE,PARIS,75003,Appartement,1990291,15549,5,128,01/07/2022
175 RUE DU TEMPLE,PARIS,75003,Appartement,644100,12882,2,50,28/06/2022
177 RUE DU TEMPLE,PARIS,75003,Appartement,296200,10970,1,27,30/05/2022
158B RUE DU TEMPLE,PARIS,75003,Appartement,1703110,16067,4,106,21/03/2022
169 RUE DU TEMPLE,PARIS,75003,Appartement,600000,12000,3,50,17/03/2022
3 RUE PAUL DUBOIS,PARIS,75003,Appartement,280000,14737,2,19,24/02/2022
67 RUE DE BRETAGNE,PARIS,75003,Appartement,336860,30624,1,11,18/02/2022
3 RUE PAUL DUBOIS,PARIS,75003,Appartement,296400,12887,2,23,06/01/2022
69 RUE DE BRETAGNE,PARIS,75003,Appartement,485000,9700,2,50,20/12/2021
65 RUE DE BRETAGNE,PARIS,75003,Appartement,520000,14054,2,37,15/12/2021
69 RUE DE BRETAGNE,PARIS,75003,Appartement,1700,34,2,50,08/12/2021
177 RUE DU TEMPLE,PARIS,75003,Appartement,465000,11625,2,40,22/10/2021
173 RUE DU TEMPLE,PARIS,75003,Appartement,660000,12000,2,55,23/07/2021
3 RUE PAUL DUBOIS,PARIS,75003,Appartement,1921400,16708,4,115,15/06/2021
69 RUE DE BRETAGNE,PARIS,75003,Appartement,220000,11000,1,20,17/02/2021
61 RUE DE BRETAGNE,PARIS,75003,Appartement,902850,13475,3,67,30/11/2020
158B RUE DU TEMPLE,PARIS,75003,Appartement,1806650,17044,4,106,30/11/2020
173 RUE DU TEMPLE,PARIS,75003,Appartement,630000,13696,2,46,26/11/2020
177 RUE DU TEMPLE,PARIS,75003,Appartement,566300,14158,3,40,23/11/2020
154 RUE DU TEMPLE,PARIS,75003,Appartement,200000,10000,1,20,31/08/2020
173 RUE DU TEMPLE,PARIS,75003,Appartement,130000,7222,1,18,22/07/2020
175 RUE DU TEMPLE,PARIS,75003,Appartement,300000,10000,1,30,12/06/2020
69 RUE DE BRETAGNE,PARIS,75003,Appartement,485000,9700,2,50,28/05/2020
169 RUE DU TEMPLE,PARIS,75003,Appartement,120000,10909,1,11,26/05/2020
154 RUE DU TEMPLE,PARIS,75003,Appartement,277000,9893,2,28,04/02/2020
67 RUE DE BRETAGNE,PARIS,75003,Appartement,106574,9689,1,11,06/01/2020
171 RUE DU TEMPLE,PARIS,75003,Appartement,1475000,12500,3,118,09/10/2019
65 RUE DE BRETAGNE,PARIS,75003,Appartement,509000,12119,1,42,27/06/2019
171 RUE DU TEMPLE,PARIS,75003,Appartement,960000,11429,4,84,28/05/2019
156 RUE DU TEMPLE,PARIS,75003,Appartement,564150,12003,3,47,15/03/2019
165 RUE DU TEMPLE,PARIS,75003,Appartement,1810000,14480,6,125,21/02/2019
156 RUE DU TEMPLE,PARIS,75003,Appartement,291400,12670,1,23,07/02/2019
175 RUE DU TEMPLE,PARIS,75003,Appartement,250000,11364,1,22,10/12/2018
175 RUE DU TEMPLE,PARIS,75003,Appartement,539000,11978,2,45,13/11/2018
3 RUE PAUL DUBOIS,PARIS,75003,Appartement,105000,17500,1,6,06/11/2018
175 RUE DU TEMPLE,PARIS,75003,Appartement,483000,11233,2,43,08/10/2018
154 RUE DU TEMPLE,PARIS,75003,Appartement,105000,8750,1,12,25/09/2018
169 RUE DU TEMPLE,PARIS,75003,Appartement,295000,12292,1,24,20/09/2018
3 RUE PAUL DUBOIS,PARIS,75003,Appartement,1775000,15435,4,115,19/09/2018
2 RUE GABRIEL VICAIRE,PARIS,75003,Appartement,1940000,16870,5,115,26/07/2018
175 RUE DU TEMPLE,PARIS,75003,Appartement,425000,10625,3,40,19/07/2018
156 RUE DU TEMPLE,PARIS,75003,Appartement,95000,9500,1,10,27/06/2018
3 RUE PAUL DUBOIS,PARIS,75003,Appartement,255000,11087,2,23,07/05/2018
175 RUE DU TEMPLE,PARIS,75003,Appartement,760000,9870,3,77,02/02/2018
61 RUE DE BRETAGNE,PARIS,75003,Appartement,796570,11889,3,67,26/01/2018
169 RUE DU TEMPLE,PARIS,75003,Appartement,533300,11851,3,45,26/01/2018
67 RUE DE BRETAGNE,PARIS,75003,Appartement,340000,30909,1,11,15/01/2018
171 RUE DU TEMPLE,PARIS,75003,Appartement,250000,10870,1,23,24/10/2017
167 RUE DU TEMPLE,PARIS,75003,Appartement,503500,10070,1,50,04/10/2017
171 RUE DU TEMPLE,PARIS,75003,Appartement,405000,10385,2,39,28/09/2017
156 RUE DU TEMPLE,PARIS,75003,Appartement,210000,10500,1,20,20/09/2017
175 RUE DU TEMPLE,PARIS,75003,Appartement,749500,12492,3,60,31/07/2017
171 RUE DU TEMPLE,PARIS,75003,Appartement,310000,9118,2,34,09/05/2017
165 RUE DU TEMPLE,PARIS,75003,Appartement,590000,8939,2,66,14/04/2017
154 RUE DU TEMPLE,PARIS,75003,Appartement,175000,7955,1,22,07/04/2017
171 RUE DU TEMPLE,PARIS,75003,Appartement,148000,4353,2,34,27/09/2016
42 RUE DU ROI DE SICILE,PARIS,75004,Appartement,253000,12650,2,20,28/06/2023
17 RUE DE RIVOLI,PARIS,75004,Appartement,630000,9265,4,68,11/05/2023
16 RUE VIEILLE DU TEMPLE,PARIS,75004,Appartement,690000,14681,2,47,24/04/2023
14 RUE DES BARRES,PARIS,75004,Appartement,865000,11533,1,75,06/04/2023
17 RUE DE RIVOLI,PARIS,75004,Appartement,720000,13585,3,53,13/01/2023
25 RUE DU ROI DE SICILE,PARIS,75004,Appartement,13400,263,2,51,10/01/2023
13 RUE VIEILLE DU TEMPLE,PARIS,75004,Appartement,250000,14706,1,17,10/01/2023
35B RUE DU ROI DE SICILE,PARIS,75004,Appartement,500000,8333,2,60,04/11/2022
11 RUE VIEILLE DU TEMPLE,PARIS,75004,Appartement,460000,12432,2,37,26/09/2022
15 RUE DE RIVOLI,PARIS,75004,Appartement,1317000,18292,4,72,19/09/2022
50 RUE DU ROI DE SICILE,PARIS,75004,Appartement,568500,14577,3,39,12/09/2022
50 RUE DU ROI DE SICILE,PARIS,75004,Appartement,815500,13592,3,60,02/09/2022
28 RUE DE RIVOLI,PARIS,75004,Appartement,349900,12496,1,28,28/07/2022
19 RUE FRANÇOIS MIRON,PARIS,75004,Appartement,425000,14655,2,29,27/07/2022
46 RUE DU ROI DE SICILE,PARIS,75004,Appartement,418150,13938,1,30,11/07/2022
7 RUE FRANÇOIS MIRON,PARIS,75004,Appartement,350000,14000,1,25,30/06/2022
16 RUE VIEILLE DU TEMPLE,PARIS,75004,Appartement,1380000,17250,3,80,29/06/2022
13 RUE VIEILLE DU TEMPLE,PARIS,75004,Appartement,320000,11852,2,27,31/05/2022
42 RUE DE RIVOLI,PARIS,75004,Appartement,538500,13462,2,40,19/05/2022
25 RUE DU ROI DE SICILE,PARIS,75004,Appartement,282000,17625,1,16,28/04/2022
4 RUE DU BOURG TIBOURG,PARIS,75004,Appartement,1198800,14104,3,85,20/04/2022
44 RUE DU ROI DE SICILE,PARIS,75004,Appartement,458985,11475,2,40,12/04/2022
28 RUE DE RIVOLI,PARIS,75004,Appartement,310000,11071,1,28,31/03/2022
22 RUE FRANÇOIS MIRON,PARIS,75004,Appartement,799000,15667,3,51,31/03/2022
52 RUE DU ROI DE SICILE,PARIS,75004,Appartement,570000,19000,2,30,31/03/2022
40 RUE DU ROI DE SICILE,PARIS,75004,Appartement,1420000,22903,3,62,01/03/2022
40B RUE DE RIVOLI,PARIS,75004,Appartement,437000,13242,2,33,09/12/2021
19 RUE FRANÇOIS MIRON,PARIS,75004,Appartement,463000,12184,2,38,01/10/2021
39 RUE DU ROI DE SICILE,PARIS,75004,Appartement,600000,13953,2,43,21/09/2021
29 RUE DU ROI DE SICILE,PARIS,75004,Appartement,227000,16214,1,14,15/09/2021
7 RUE FRANÇOIS MIRON,PARIS,75004,Appartement,688400,12989,2,53,03/09/2021
33 RUE DU ROI DE SICILE,PARIS,75004,Appartement,267250,14847,2,18,30/07/2021
6 RUE FRANÇOIS MIRON,PARIS,75004,Appartement,224820,3306,3,68,29/07/2021
123 RUE SAINT-ANTOINE,PARIS,75004,Appartement,877800,13716,4,64,20/07/2021
50 RUE DU ROI DE SICILE,PARIS,75004,Appartement,1453500,13584,3,107,06/07/2021
7 RUE FRANÇOIS MIRON,PARIS,75004,Appartement,500000,8621,3,58,22/06/2021
33 RUE DU ROI DE SICILE,PARIS,75004,Appartement,222500,15893,1,14,21/06/2021
29 RUE DU ROI DE SICILE,PARIS,75004,Appartement,517500,12321,2,42,19/04/2021
25 RUE FRANÇOIS MIRON,PARIS,75004,Appartement,166574,11105,1,15,08/04/2021
36 RUE DU ROI DE SICILE,PARIS,75004,Appartement,569000,12370,2,46,22/01/2021
19 RUE FRANÇOIS MIRON,PARIS,75004,Appartement,533000,13667,2,39,17/12/2020
11 RUE VIEILLE DU TEMPLE,PARIS,75004,Appartement,906000,12943,3,70,25/11/2020
32 RUE DE RIVOLI,PARIS,75004,Appartement,536400,14900,3,36,01/10/2020
15 RUE DE RIVOLI,PARIS,75004,Appartement,1060000,14133,2,75,30/09/2020
9 RUE FRANÇOIS MIRON,PARIS,75004,Appartement,146666,4190,1,35,30/09/2020
14 RUE CLOCHE PERCE,PARIS,75004,Appartement,500000,20000,2,25,14/08/2020
30 RUE DE RIVOLI,PARIS,75004,Appartement,361250,2580,5,140,14/08/2020
4 RUE FRANÇOIS MIRON,PARIS,75004,Appartement,1144230,15463,4,74,10/08/2020
21 RUE DU PONT LOUIS-PHILIPPE,PARIS,75004,Appartement,290810,13848,1,21,22/07/2020
50 RUE DU ROI DE SICILE,PARIS,75004,Appartement,165000,9706,1,17,25/06/2020
4 RUE DU BOURG TIBOURG,PARIS,75004,Appartement,1140000,16286,3,70,27/05/2020
40B RUE DE RIVOLI,PARIS,75004,Appartement,1200000,10909,6,110,20/05/2020
27 RUE DU ROI DE SICILE,PARIS,75004,Appartement,402430,10061,2,40,03/03/2020
11 RUE FRANÇOIS MIRON,PARIS,75004,Appartement,350000,19444,1,18,26/02/2020
52 RUE DU ROI DE SICILE,PARIS,75004,Appartement,935000,15081,2,62,07/02/2020
14 RUE CLOCHE PERCE,PARIS,75004,Appartement,743000,12383,4,60,30/01/2020
23 RUE FRANÇOIS MIRON,PARIS,75004,Appartement,520000,13000,2,40,13/12/2019
13 RUE VIEILLE DU TEMPLE,PARIS,75004,Appartement,480000,12000,2,40,27/09/2019
19 RUE FRANÇOIS MIRON,PARIS,75004,Appartement,440000,8800,2,50,23/09/2019
39 RUE DU ROI DE SICILE,PARIS,75004,Appartement,554000,12884,2,43,12/06/2019
30 RUE DE RIVOLI,PARIS,75004,Appartement,1730000,11689,5,148,21/05/2019
19 RUE FRANÇOIS MIRON,PARIS,75004,Appartement,462000,13588,2,34,03/04/2019
11 RUE FRANÇOIS MIRON,PARIS,75004,Appartement,299500,18719,1,16,28/02/2019
15 RUE VIEILLE DU TEMPLE,PARIS,75004,Appartement,765000,11769,2,65,22/02/2019
19 RUE FRANÇOIS MIRON,PARIS,75004,Appartement,480000,12000,3,40,29/01/2019
36 RUE DU ROI DE SICILE,PARIS,75004,Appartement,348580,9959,2,35,21/12/2018
52 RUE DU ROI DE SICILE,PARIS,75004,Appartement,435570,12445,2,35,15/11/2018
17 RUE DE RIVOLI,PARIS,75004,Appartement,410000,6721,3,61,25/10/2018
27 RUE DU ROI DE SICILE,PARIS,75004,Appartement,624000,13867,3,45,04/10/2018
52 RUE DU ROI DE SICILE,PARIS,75004,Appartement,372600,14331,2,26,25/09/2018
11 RUE VIEILLE DU TEMPLE,PARIS,75004,Appartement,323000,10094,2,32,20/09/2018
13 RUE VIEILLE DU TEMPLE,PARIS,75004,Appartement,248000,16533,1,15,13/09/2018
11 RUE FRANÇOIS MIRON,PARIS,75004,Appartement,259879,14438,1,18,03/09/2018
12 RUE DES FOSSÉS SAINT-JACQUES,PARIS,75005,Appartement,646000,11536,2,56,22/06/2023
19 RUE DES FOSSÉS SAINT-JACQUES,PARIS,75005,Appartement,550000,15278,3,36,19/06/2023
6 RUE BLAINVILLE,PARIS,75005,Appartement,180000,8571,1,21,12/06/2023
